име,град,bio-score,bio-verdict,bio-max-time,degrees-score,degrees-verdict,degrees-max-time,dentist-score,dentist-verdict,dentist-max-time,точки
VDH,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.063,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,200.0
HDD,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,200.0
VIG,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.103,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.016,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,200.0
MDA,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,90.0,OK OK OK OK OK OK OK OK OK WA,0.003,190.0
VAK,Пловдив,60.0,OK WA WA OK OK OK OK OK WA OK OK WA WA WA OK OK OK OK WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.006,185.0
BSS,Варна,75.0,OK OK OK OK OK OK OK WA OK WA OK WA OK OK OK WA WA OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.033,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,175.0
BKK,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,40.0,OK OK OK OK OK OK WA WA WA WA OK WA WA WA WA WA WA OK WA WA,0.016,10.0,WA WA OK WA WA WA WA WA WA WA,0.003,150.0
JAG,Ямбол,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,135.0
BIG,София,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,135.0
MMK,Плевен,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,130.0
SAGG,Варна,0.0,WA TL TL WA TL WA TL WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
VBM,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK TL WA TL TL WA TL OK TL WA TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
YRV,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
ASS,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
EPV,Добрич,0.0,TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,125.0
DRP,Варна,85.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,35.0,OK OK OK OK OK RE RE RE RE RE OK RE RE RE RE RE RE OK RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,120.0
RNH,Ямбол,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.166,20.0,OK OK WA WA WA WA WA WA WA WA,0.003,120.0
GSZ,Благоевград,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL WA TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,105.0
NDG,София,80.0,WA OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,105.0
RLB,Благоевград,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,100.0
KCC,Варна,0.0,TL TL TL TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,100.0
DMK,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,70.0,OK OK OK WA OK WA OK WA OK OK,0.003,95.0
TMD,София,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,80.0,OK OK OK OK OK WA OK OK OK WA,0.003,90.0
ISS,Пловдив,80.0,OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK WA WA,0.003,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,85.0
NGS,София,85.0,WA OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK WA OK OK OK,0.003,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,85.0
RNK,Варна,85.0,OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,85.0
MGM,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,25.0,OK OK OK OK TL TL TL TL TL TL OK TL TL TL TL TL TL TL TL TL,N/A,50.0,OK WA OK WA OK WA OK WA OK WA,0.016,75.0
ISP,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,75.0,OK OK OK OK OK OK OK OK WA WA OK OK OK OK WA WA WA OK OK OK,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,75.0
IIN,Пловдив,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,30.0,OK OK OK WA WA WA WA WA WA WA,0.003,60.0
TGM,София,5.0,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,30.0,OK OK OK WA WA WA WA WA WA WA,0.003,60.0
DPK,Габрово,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,55.0,OK OK OK OK OK WA WA WA WA WA OK OK OK OK WA WA WA OK OK WA,0.023,0,Compilation error,N/A,55.0
ANZ,София,0,Compilation error,N/A,35.0,OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA,0.016,20.0,OK WA OK WA WA WA WA WA WA WA,0.003,55.0
VVR,Варна,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,35.0,OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA,0.019,0,Compilation error,N/A,45.0
FAA,Хасково,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,40.0,OK OK OK OK OK OK TL TL WA TL OK TL TL TL TL TL TL OK TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,40.0
BVE,Кърджали,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,35.0,OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,35.0
MII,Плевен,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,35.0
AGG,Пловдив,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,35.0
MAP,Варна,5.0,WA TL TL TL OK TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,30.0
HDS,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,30.0,OK OK OK WA WA WA WA WA WA WA,0.003,30.0
TTK,Русе,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA TL TL TL OK TL WA TL TL TL TL WA WA TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,25.0
TKP,Варна,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,25.0,OK OK OK OK RE RE RE RE RE RE OK RE RE RE RE RE RE RE RE RE,N/A,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,25.0
LKK,София,0,Compilation error,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,25.0
VYK,Хасково,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,25.0
ZSK,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,15.0,WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,10.0,OK WA WA WA WA WA WA WA WA WA,0.003,25.0
YBE,Плевен,0,Compilation error,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,25.0
IDB,Пловдив,0.0,TL TL TL WA TL TL TL TL TL TL TL WA TL TL TL WA TL TL TL TL,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,0.0,TL TL TL TL TL TL TL TL TL TL,N/A,25.0
TGS,Варна,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.059,0.0,RE RE RE RE RE RE RE RE RE RE,N/A,25.0
DRP,София,0,Compilation error,N/A,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,25.0
EIS,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,25.0
EIR,Габрово,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,20.0,OK WA OK WA WA WA WA WA WA WA,0.003,20.0
DRK,Варна,0,Compilation error,N/A,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,20.0
DMM,Кърджали,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,20.0,OK OK OK OK WA TL TL TL TL TL WA TL TL TL TL TL TL WA TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.006,20.0
SIGG,Варна,0,Compilation error,N/A,0,Compilation error,N/A,20.0,OK WA WA WA WA WA WA WA WA OK,0.003,20.0
SPV,Варна,5.0,OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,10.0,TL OK OK TL WA TL WA TL TL TL TL TL TL TL WA TL TL TL TL TL,N/A,0.0,RE RE RE RE RE RE RE RE RE RE,N/A,15.0
IIZ,Пловдив,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,10.0
EED,Пловдив,0,Compilation error,N/A,10.0,WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,10.0
MPA,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,10.0,WA WA OK WA WA WA WA WA WA WA,0.003,10.0
SIS,Варна,0.0,TL TL TL WA TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA TL TL TL WA TL WA TL TL TL TL WA WA TL,N/A,10.0,WA WA OK WA WA WA WA WA WA WA,0.003,10.0
VGB,Пловдив,0,Compilation error,N/A,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,5.0
SBI,Габрово,0,Compilation error,N/A,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,5.0
DNN,Стара Загора,5.0,TL TL TL WA WA TL TL TL TL TL TL TL WA TL TL OK TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,RE RE RE RE RE RE RE RE RE RE,N/A,5.0
MZD,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA TL WA TL WA TL WA TL WA WA WA WA WA WA TL WA WA WA,N/A,0,Compilation error,N/A,0.0
MAK,Русе,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
SVK,Кърджали,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
SSK,Велико Търново,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
ADD,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
BAM,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
RDG,Шумен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
HGD,Плевен,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
TNM,София,0.0,WA TL TL TL TL TL TL TL WA TL TL WA TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
NTB,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,0.0
AHT,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL RE TL RE RE,N/A,0.0
PST,Пловдив,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
HTT,Кюстендил,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,0.0
GYY,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0,Compilation error,N/A,0.0
NCC,София,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
FSK,Ямбол,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
PPN,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
MNY,Русе,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.023,0,Compilation error,N/A,0.0
PPC,Габрово,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
NKP,Пловдив,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0.0,TL WA TL TL TL WA TL TL TL WA,N/A,0.0
AGZ,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
AVV,Варна,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
VVM,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0
MGG,София,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA,0.003,0.0
AAA,Варна,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.019,0,Compilation error,N/A,0.0
